[1, 1, 1, 2, -5, -8, -8];[3, 3, 4, 8, -8, 55, 66]
[1, 1, 2, 2, -4, -7, 4];[3, 3, 2, 9, -6, 18, -42]
[1, 1, 2, -3, 3, 3, 18];[3, 3, 2, -6, 10, -45, 30]
[1, 1, 2, 1, -5, -2, 9];[3, 3, 2, 18, -6, 66, 55]
[1, 1, 2, 4, 4, -2, -15];[3, 3, 2, 5, 5, 26, -26]
[1, 1, 1, -3, 2, 11, -11];[3, 3, 4, -7, 13, -42, 156]
[1, 1, 1, 3, -6, -5, 5];[3, 3, 4, 7, -7, -14, -84]
[1, 1, 1, 2, -2, -5, -16];[3, 3, 5, 3, 21, 16, -21]
[1, 1, 1, 2, -2, -5, -19];[3, 3, 5, 3, 19, 21, -21]
[1, 1, 1, -1, 1, 6, 12];[3, 3, 5, -6, -22, 20, 22]
[1, 1, 1, -1, 1, 6, 15];[3, 3, 5, -6, -21, 15, 21]
[1, 1, 1, -1, 1, 5, -15];[3, 3, 5, -6, -16, 6, 16]
[-1, 1, 1, 2, -3, 1, 1];[-3, 3, 5, 3, 4, 10, -20]
[1, -1, 1, 2, -3, 1, 1];[3, -3, 5, 3, 4, 10, -20]
[-1, 1, 1, 1, 3, 1, 5];[-3, 3, 5, 8, 4, -15, -24]
[1, -1, 1, 1, 3, 1, 5];[3, -3, 5, 8, 4, -15, -24]
[1, 1, 1, -2, 4, 2, 20];[3, 3, 5, -4, 12, -36, 36]
[-1, 1, 1, 3, 1, 1, 15];[-3, 3, 5, 3, 21, -35, 21]
[1, -1, 1, 3, 1, 1, 15];[3, -3, 5, 3, 21, -35, 21]
[1, 1, 1, -2, 3, 2, -5];[3, 3, 5, -5, 5, -21, 21]
[1, 1, 1, 3, -3, 6, -9];[3, 3, 5, 4, -6, -45, 60]
[1, 1, 1, -3, 4, 2, -5];[3, 3, 5, -4, 9, 21, 126]
[-1, 1, 2, 1, 1, 1, -7];[-3, 3, 3, 7, 12, -24, 8]
[1, -1, 2, 1, 1, 1, -7];[3, -3, 3, 7, 12, -24, 8]
[1, 1, 1, 1, -2, -2, 15];[3, 3, 6, 7, -17, 85, 238]
[-1, 1, 2, 1, 1, 1, -11];[-3, 3, 3, 8, 11, -24, 12]
[1, -1, 2, 1, 1, 1, -11];[3, -3, 3, 8, 11, -24, 12]
[-1, 1, 1, 2, 1, 1, 12];[-3, 3, 6, 4, 11, -22, -22]
[1, -1, 1, 2, 1, 1, 12];[3, -3, 6, 4, 11, -22, -22]
[-1, 1, 2, 1, 1, 1, -24];[-3, 3, 3, 8, 12, -25, 25]
[1, -1, 2, 1, 1, 1, -24];[3, -3, 3, 8, 12, -25, 25]
[1, 1, 2, 2, 1, -1, -5];[3, 3, 3, 5, 12, 24, -8]
[1, 1, 1, -2, 2, 4, -12];[3, 3, 6, -5, 14, 8, 280]
[1, 1, 2, -1, 1, 2, 65];[3, 3, 3, -11, 12, -65, 132]
[1, 1, -1, -3, 1, 1, 1];[3, 3, -6, -4, 13, 52, -78]
[1, 1, -1, -3, 1, 1, 1];[3, 3, -6, -4, 14, 36, -63]
[-1, 1, 1, 1, 3, 1, 8];[-3, 3, 7, 7, 4, -24, 21]
[1, -1, 1, 1, 3, 1, 8];[3, -3, 7, 7, 4, -24, 21]
[1, 1, -2, 2, 2, 1, -4];[3, 3, -4, 4, 4, -15, -10]
[1, 1, 2, -2, 2, 1, -4];[3, 3, 4, -4, 4, -15, -10]
[1, 1, 2, 2, -2, 1, -4];[3, 3, 4, 4, -4, -15, -10]
[1, 1, 2, 1, -2, 5, -36];[3, 3, 4, 9, -5, -82, 82]
[1, 1, 1, 1, -1, -3, 4];[3, 4, 4, 4, 10, -14, -35]
[1, -1, 1, 1, 1, 3, -4];[3, -4, 4, 5, -15, 4, 5]
[1, 1, -1, 1, 1, 3, -4];[3, 4, -4, 5, -15, 4, 5]
[1, -2, 2, 1, 1, 2, -14];[3, -2, 2, 5, -15, 14, 30]
[1, 2, -2, 1, 1, 2, -14];[3, 2, -2, 5, -15, 14, 30]
[1, -2, 2, 1, 1, 6, 6];[3, -2, 2, 5, -15, 10, 10]
[1, 2, -2, 1, 1, 6, 6];[3, 2, -2, 5, -15, 10, 10]
[1, 2, 2, -1, 1, 1, -3];[3, 2, 2, -8, 8, -16, 16]
[1, 2, 2, 1, -1, 1, -3];[3, 2, 2, 8, -8, -16, 16]
[1, 1, 2, -2, 3, 1, -4];[3, 4, 2, -4, 4, -15, -10]
[1, 2, 1, -2, 3, 1, -4];[3, 2, 4, -4, 4, -15, -10]
[1, 2, 2, 2, -3, 8, 8];[3, 2, 2, 4, -11, 10, -110]
[1, 1, 2, -3, 2, 5, 3];[3, 4, 2, -3, 6, -12, -30]
[1, 1, 2, 3, -2, 5, 3];[3, 4, 2, 3, -6, -12, -30]
[1, 2, 1, -3, 2, 5, 3];[3, 2, 4, -3, 6, -12, -30]
[1, 2, 1, 3, -2, 5, 3];[3, 2, 4, 3, -6, -12, -30]
[1, 1, 2, -3, 2, 2, -12];[3, 4, 2, -3, 6, -21, 21]
[1, 1, 2, 3, -2, 2, -12];[3, 4, 2, 3, -6, -21, 21]
[1, 2, 1, -3, 2, 2, -12];[3, 2, 4, -3, 6, -21, 21]
[1, 2, 1, 3, -2, 2, -12];[3, 2, 4, 3, -6, -21, 21]
[1, 1, -2, -2, 1, 1, 1];[3, 4, -2, -6, 14, 35, -60]
[1, -2, 1, -2, 1, 1, 1];[3, -2, 4, -6, 14, 35, -60]
[1, -1, 1, 1, 1, -3, 1];[3, -4, 4, 12, 15, -8, -40]
[1, 1, -1, 1, 1, -3, 1];[3, 4, -4, 12, 15, -8, -40]
[1, 2, 2, -3, 1, 3, -3];[3, 2, 2, -5, 16, 8, 80]
[1, -1, 1, 1, 3, 1, -15];[3, -4, 5, 5, 4, -16, 16]
[-1, 1, 1, 1, 5, 1, 5];[-3, 4, 5, 5, 6, -20, 6]
[1, 2, 1, 1, -5, -3, -10];[3, 2, 5, 5, -10, 70, -70]
[1, 2, 1, 1, -2, -5, -54];[3, 2, 5, 5, -27, 126, 70]
[-1, 1, 1, 2, 1, 1, -9];[-3, 4, 5, 3, 9, -20, 10]
[-1, 1, 1, 2, 1, 1, -20];[-3, 4, 5, 3, 10, -21, 21]
[1, 1, 1, 2, -3, 5, -4];[3, 4, 5, 3, -5, -18, 45]
[1, -1, 1, 1, -3, 1, 1];[3, -4, 5, 6, -8, 40, -60]
[1, 1, 1, 1, -4, -4, -4];[3, 4, 5, 6, -9, -10, 90]
[1, -2, 1, 1, -2, 1, 1];[3, -2, 5, 8, -6, 40, -60]
[1, -2, 1, 2, 2, 2, 2];[3, -2, 6, 3, 3, -9, -18]
[1, -2, 2, 1, 2, 2, 2];[3, -2, 3, 6, 3, -9, -18]
[1, -2, 2, 2, 1, 2, 2];[3, -2, 3, 3, 6, -9, -18]
[1, 2, 1, 2, -2, 2, -6];[3, 2, 6, 3, -4, -24, 8]
[1, 2, 1, 2, -2, -6, 2];[3, 2, 6, 3, -4, 8, -24]
[1, 2, 2, 1, -2, 2, -6];[3, 2, 3, 6, -4, -24, 8]
[1, 2, 2, 1, -2, -6, 2];[3, 2, 3, 6, -4, 8, -24]
[1, -1, 2, 2, 1, 1, 8];[3, -4, 3, 3, 8, -21, 21]
[1, -1, 1, 2, 2, 1, 6];[3, -4, 6, 3, 4, -20, 20]
[1, -1, 2, 1, 2, 1, 6];[3, -4, 3, 6, 4, -20, 20]
[1, 1, -2, 2, 2, 1, -4];[3, 4, -3, 3, 4, -20, -30]
[1, 1, 2, -2, 2, 1, -4];[3, 4, 3, -3, 4, -20, -30]
[1, 1, -2, 2, 1, 5, 5];[3, 4, -3, 3, 10, -14, -84]
[1, 1, 2, -2, 1, 5, 5];[3, 4, 3, -3, 10, -14, -84]
[1, 1, 1, 2, -4, -2, 2];[3, 4, 6, 3, -4, -16, -48]
[1, 1, 2, 1, -4, -2, 2];[3, 4, 3, 6, -4, -16, -48]
[1, -2, 1, 2, 2, 2, 2];[3, -2, 6, 3, 8, 16, -48]
[1, -2, 2, 1, 2, 2, 2];[3, -2, 3, 6, 8, 16, -48]
[1, 1, 2, 2, -3, 2, -3];[3, 4, 3, 3, -6, 15, 60]
[1, 1, -1, 1, -3, 1, 1];[3, 4, -6, 7, -4, 21, -42]
[1, 2, -2, 2, 2, 2, 2];[3, 2, -3, 5, 6, 6, -30]
[-1, 1, 1, 1, 3, 1, 15];[-3, 5, 5, 5, 3, -21, 21]
[1, 1, 1, 1, -5, -5, -5];[3, 5, 5, 5, -5, -7, 105]
[-1, 1, 1, 1, 2, 1, -9];[-3, 5, 5, 6, 3, -18, 10]
[-1, 1, 1, 2, 1, 1, -9];[-3, 5, 5, 3, 6, -18, 10]
[1, 1, 2, -1, 2, 1, 14];[4, 4, 2, -5, 4, -14, -20]
[1, 2, 1, -1, 2, 1, 14];[4, 2, 4, -5, 4, -14, -20]
[2, 1, 1, -1, 2, 1, 14];[2, 4, 4, -5, 4, -14, -20]
[1, 1, -2, 2, 2, 2, 2];[4, 4, -2, 3, 3, -10, -15]
[1, -2, 1, 2, 2, 2, 2];[4, -2, 4, 3, 3, -10, -15]
[-2, 1, 1, 2, 2, 2, 2];[-2, 4, 4, 3, 3, -10, -15]
